stop_id,stop_name,arrival_time,stop_sequence,direction_id,route_short_name,route_long_name,route_type
1780,Passy,51360,5,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
2069,Bir-Hakeim (Grenelle),51420,6,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1926,Dupleix,51480,7,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1657,La Motte-Picquet-Grenelle,51540,8,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
2016,Cambronne,51600,9,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1665,Sèvres-Lecourbe,51660,10,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1781,Pasteur,51720,11,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1825,Montparnasse-Bienvenue,51840,12,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1930,Edgar-Quinet,51900,13,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1763,Raspail,51960,14,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1997,Denfert-Rochereau,52020,15,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1640,Saint-Jacques,52140,16,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1962,Glacière,52200,17,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1987,Corvisart,52260,18,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1794,Place d'Italie,52380,19,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1836,Nationale,52440,20,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1974,Chevaleret,52500,21,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1644,Quai de la Gare,52560,22,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
2068,Bercy,52620,23,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
2082,Dugommier,52680,24,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
2081,Daumesnil (Félix Eboué),52740,25,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
2065,Bel-Air,52860,26,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1789,Picpus,52920,27,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1834,Nation,52980,28,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1911,La Courneuve-8-Mai-1945,73380,1,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1944,Fort d'Aubervilliers,73500,2,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
2055,Aubervilliers Pantin (4 Chemins),73620,3,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1744,Porte de la Villette,73740,4,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1985,Corentin-Cariou,73860,5,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
2080,Crimée,73920,6,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1703,Riquet,73980,7,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1676,Stalingrad,74040,8,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1860,Louis Blanc,74100,9,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
2085,Château Landon,74220,10,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1954,Gare de l'Est (Verdun),74280,11,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1800,Poissonnière,74400,12,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
2015,Cadet,74460,13,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1849,Le Peletier,74520,14,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1971,Chaussée d'Antin (La Fayette),74580,15,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1847,Opéra,74700,16,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1757,Pyramides,74820,17,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1774,Palais-Royal (Musée du Louvre),74880,18,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1806,Pont Neuf,74940,19,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1966,Châtelet,75060,20,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1805,Pont Marie (Cité des Arts),75120,21,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1681,Sully-Morland,75180,22,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1907,Jussieu,75300,23,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1649,Place Monge (Jardin des Plantes),75360,24,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
2020,Censier-Daubenton,75420,25,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1854,Les Gobelins,75540,26,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1648,Place d'Italie,75600,27,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1685,Tolbiac,75660,28,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1876,Maison Blanche,75720,29,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1925,Le Kremlin-Bicêtre,75840,30,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1639,Villejuif-Léo Lagrange,75960,31,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1696,Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse),76020,32,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1695,Villejuif-Louis Aragon,76140,33,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1695,Villejuif-Louis Aragon,76140,1,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1696,Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse),76260,2,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1639,Villejuif-Léo Lagrange,76320,3,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1925,Le Kremlin-Bicêtre,76440,4,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1876,Maison Blanche,76560,5,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1685,Tolbiac,76620,6,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1648,Place d'Italie,76680,7,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1854,Les Gobelins,76740,8,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
2020,Censier-Daubenton,76860,9,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1649,Place Monge (Jardin des Plantes),76920,10,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1907,Jussieu,76980,11,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1681,Sully-Morland,77100,12,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
